Dates,Types
2015-06-10,"[('cumulos', 36)]"
2015-06-12,"[('altocumulo', 12)]"
2015-06-13,"[('estratocumulo', 30)]"
2015-06-15,"[('estratocumulo', 12), ('altocumulo', 7)]"
2015-06-21,"[('altocumulo', 15)]"
2015-06-22,"[('cieloDespejado', 3), ('estratocumulo', 14)]"
2015-06-24,"[('cirro', 27)]"
2015-07-31,"[('cumulos', 27)]"
2015-08-11,"[('cirrocumulo', 10)]"
2015-08-12,"[('altocumulo', 25)]"
2015-08-22,"[('estrato', 24), ('estratocumulo', 9)]"
2015-08-24,"[('estratocumulo', 8), ('altocumulo', 9)]"
2015-08-27,"[('cirro', 10), ('cirroestrato', 22)]"
2015-08-29,"[('cirrocumulo', 13)]"
2015-08-31,"[('estrato', 13)]"
2015-09-02,"[('estrato', 27), ('estratocumulo', 11)]"
2015-09-05,"[('altoestrato', 37)]"
2015-09-06,"[('cumulos', 15)]"
2015-09-09,"[('cumulos', 5), ('cirro', 29)]"
2015-09-11,"[('cirro', 34), ('cirroestrato', 6)]"
2015-09-12,"[('altocumulo', 11)]"
2015-09-13,"[('cirro', 33)]"
2015-09-14,"[('estratocumulo', 40)]"
2015-09-15,"[('cirro', 27), ('cirroestrato', 7)]"
2015-09-16,"[('estrato', 31)]"
2015-09-21,"[('altocumulo', 35)]"
2015-09-23,"[('cirro', 3)]"
2015-09-24,"[('cumulos', 17)]"
2015-09-29,"[('altocumulo', 8)]"
2015-09-30,"[('cirro', 17)]"
2015-10-02,"[('cirro', 9), ('cirrocumulo', 5)]"
2015-10-03,"[('cirroestrato', 47)]"
2015-10-05,"[('estrato', 24)]"
2015-10-06,"[('cirrocumulo', 2)]"
2015-10-09,"[('cieloDespejado', 11), ('cirro', 9), ('cirroestrato', 18)]"
2015-10-10,"[('estrato', 31), ('altoestrato', 4)]"
2015-10-11,"[('estratocumulo', 29)]"
2015-10-12,"[('estratocumulo', 13)]"
2015-10-14,"[('estratocumulo', 16)]"
2015-10-15,"[('estratocumulo', 20)]"
2015-10-16,"[('estrato', 13), ('estratocumulo', 18)]"
